2	PLASTIC EXPANSION RIVET	Unknown	Freezer	0
3	DISTRIBUTOR CAM	CAM	Washing Machine	1
4	HANDLE UPPER DX/LOWER SX ALUMINIUM	Handle	Refrigerator	1
5	ICE CUBE TRAY 215X102X34	Unknown	Refrigerator	0
6	DISTRIBUTOR CAM 9213/1008	CAM	Washing Machine	1
7	BOTTLE SHELF WHITE	Unknown	Refrigerator	0
8	OVEN KNOB 7CUOCHI CASTORO74	Knob / Button	Cooker Hood	1
9	CASTORO RECESSED KNOB85 REFRIGERATOR DOO	Unknown	Refrigerator	0
10	WHITE27 BASE DX-SX	Unknown	Refrigerator	0
11	WHITE27 RECESSED KNOB THIRD DOOR 594 MM	Knob / Button	Refrigerator	1
12	FRAME INNER DOOR BROWNE	Unknown	Washing Machine	0
13	KNOB DISC WHITE	Knob / Button	Cooker Hood	1
14	SUPPORT KIT	Bracket / support	Washing Machine	1
15	BROWN KNOB	Knob / Button	Cooker Hood	1
16	SUPPORT (SHORT) - UPPER BASKET	Basket	Dishwasher	1
17	HEIGHT ADJUSTING STRIP-CONTROL PANEL-BRO	Control pannel box	Dishwasher	1
18	KNOB SUPPORT FOR ELECTRIC PLATE EN. BIAN	Knob/Handle support	Cooker Hood	2
19	BROWN-BAK BASE(50429)	Unknown	Refrigerator	0
20	GREY-47 FREEZER FLAP DOOR	Unknown	Refrigerator	0
21	KNOB WHITE GAS	Knob / Button	Cooker Hood	1
22	TEMPERATUR KNOB WHITE	Knob / Button	Unknown	1
23	TEMPERATURE KNOB WHITE 27	Knob / Button	Washing Machine	1
24	SPIN REGULATION KNOB WHITE 27	Knob / Button	Washing Machine	1
25	GLASS DISC - THERMOSTAT KNOB	Knob / Button	Cooker Hood	1
26	KNOB DISC - WHITE	Knob / Button	Cooker Hood	1
27	KNOB (RUSTIC) - BROWN	Knob / Button	Cooker Hood	1
28	CATCH PLATE (CABINET)	Catch	Dishwasher	1
29	BLACK KNOB FOR ELECT.RINGS HOBS 68 (2113	Knob / Button	Cooker Hood	1
30	WHITE KNOB FOR ELECTRIC RINGS HOBS 90	Knob / Button	Cooker Hood	1
31	BLACK KNOB FOR ELECTRIC RINGS HOBS 90	Knob / Button	Cooker Hood	1
32	TEMPERATUR KNOB WHITE 26	Knob / Button	Washing Machine	1
33	ROCKING BRACKET	Bracket / support	Cooker Hood	1
34	GAGE.COV. P372 LG. 1200	Unknown	Oven	0
35	KNOB 3890	Knob / Button	Cooker Hood	1
36	ADJUSTING KNOB WHITE	Knob / Button	Oven	1
37	LAMP HOLDER	Unknown	Oven	0
38	BLACK BUTTON 13126 974	Knob / Button	Oven	1
39	TOUCH BUTTON BLACK	Knob / Button	Oven	1
40	AUX. POLISHED CAP	Unknown	Cooker Hood	0
41	S/QUICK REL.ST.STEEL CAP	Unknown	Cooker Hood	0
42	WHITE KEY 13126 468	Unknown	Oven	0
43	CONTROL KNOB WHITE	Control pannel box	Cooker Hood	1
44	SILICON PUSHBUTTON,BLACK	Unknown	Cooker Hood	0
45	TRADITION.KNOB, CHROME PL. ASS.	Knob / Button	Cooker Hood	1
